# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Tue, 15 Sep 2026 03:01:19 +0200
#
# IP	number of (black)lists
#
138.226.239.233	10
138.226.239.234	10
62.60.130.201	9
66.132.172.107	9
85.239.149.72	9
95.85.245.227	9
107.150.97.10	9
2.57.121.112	8
3.129.187.38	8
45.43.60.98	8
45.156.129.70	8
47.80.68.74	8
62.60.130.242	8
62.60.130.253	8
64.62.197.77	8
64.62.197.122	8
64.62.197.197	8
66.132.172.40	8
66.132.172.104	8
66.132.172.128	8
66.132.172.129	8
66.132.172.133	8
66.132.172.134	8
66.132.172.141	8
66.132.172.143	8
66.132.172.177	8
66.132.172.180	8
66.132.172.204	8
66.132.172.206	8
66.132.172.210	8
66.132.172.215	8
66.132.172.217	8
66.132.172.223	8
66.132.186.161	8
66.132.186.168	8
66.132.186.174	8
66.132.186.185	8
66.132.186.194	8
66.132.186.199	8
66.132.186.201	8
66.132.186.205	8
66.132.195.47	8
66.132.195.48	8
66.132.195.49	8
66.132.195.59	8
66.132.195.67	8
66.132.195.97	8
66.132.195.100	8
66.132.195.111	8
66.132.195.118	8
77.90.185.20	8
80.94.95.115	8
80.94.95.116	8
80.97.160.31	8
82.39.154.137	8
85.217.149.63	8
87.192.253.110	8
103.78.2.252	8
108.165.164.23	8
116.110.21.251	8
147.185.132.31	8
147.185.132.40	8
147.185.132.138	8
167.94.146.50	8
167.94.146.51	8
167.94.146.57	8
167.94.146.63	8
185.132.43.9	8
193.47.62.69	8
199.45.154.52	8
199.45.154.113	8
199.45.155.28	8
213.209.159.175	8
220.85.210.200	8
2.57.122.53	7
3.130.168.2	7
18.116.101.220	7
31.58.216.82	7
31.216.62.92	7
36.66.16.233	7
38.148.20.75	7
39.109.116.214	7
43.128.81.242	7
45.33.14.5	7
45.91.64.7	7
45.148.10.141	7
45.148.10.151	7
45.156.128.56	7
45.156.129.73	7
45.156.129.90	7
47.74.51.79	7
47.254.176.60	7
50.84.211.204	7
61.245.11.12	7
64.62.156.24	7
64.62.156.52	7
64.62.156.94	7
64.62.156.152	7
64.62.156.162	7
64.62.156.202	7
64.62.197.2	7
64.62.197.17	7
64.62.197.32	7
64.62.197.48	7
64.62.197.107	7
64.62.197.137	7
64.62.197.182	7
64.62.197.227	7
65.49.1.24	7
65.49.1.38	7
